Census Tract,Old District,index_right,new district
43,3,1,3
193,3,1,3
233,3,1,3
208,3,1,3
233,3,1,3
17,3,1,3
165,3,1,3
43,3,1,3
234,3,1,3
230,3,1,3
183,3,1,3
109,3,1,3
222,3,1,3
40,3,1,3
13,3,1,3
215,3,1,3
68,3,1,3
19,3,1,3
236,3,1,3
107,3,1,3
68,3,1,3
233,3,1,3
26,3,1,3
57,3,1,3
177,3,1,3
107,3,1,3
116,2,1,3
37,3,1,3
43,3,1,3
193,3,1,3
68,3,1,3
175,2,1,3
165,3,1,3
57,3,1,3
116,2,1,3
109,3,1,3
233,3,1,3
175,2,1,3
230,3,1,3
173,3,1,3
234,3,1,3
67,3,1,3
177,3,1,3
67,3,1,3
67,3,1,3
12,3,1,3
17,3,1,3
233,3,1,3
175,3,1,3
78,3,1,3
45,2,1,3
234,3,1,3
40,3,1,3
17,3,1,3
165,3,1,3
177,3,1,3
43,3,1,3
67,3,1,3
67,3,1,3
12,3,1,3
25,3,1,3
19,3,1,3
204,3,1,3
133,3,1,3
230,3,1,3
206,2,1,3
12,3,1,3
208,3,1,3
43,3,1,3
193,3,1,3
68,3,1,3
177,3,1,3
215,3,1,3
67,3,1,3
107,3,1,3
222,3,1,3
12,3,1,3
17,3,1,3
233,3,1,3
233,3,1,3
57,3,1,3
234,3,1,3
77,3,1,3
25,3,1,3
234,3,1,3
107,3,1,3
215,3,1,3
165,3,1,3
17,3,1,3
77,3,1,3
236,3,1,3
106,3,1,3
26,3,1,3
202,4,1,3
230,3,1,3
230,3,1,3
202,4,1,3
177,3,1,3
208,3,1,3
156,3,1,3
202,4,1,3
109,3,1,3
211,3,1,3
26,3,1,3
12,3,1,3
156,3,1,3
77,3,1,3
3,2,1,3
20,3,1,3
26,3,1,3
13,3,1,3
165,3,1,3
67,3,1,3
67,3,1,3
173,3,1,3
26,3,1,3
107,3,1,3
202,4,1,3
133,3,1,3
211,3,1,3
17,3,1,3
19,3,1,3
140,3,1,3
165,3,1,3
107,3,1,3
230,3,1,3
37,3,1,3
17,3,1,3
17,3,1,3
170,2,1,3
234,3,1,3
173,3,1,3
236,3,1,3
26,3,1,3
107,3,1,3
19,3,1,3
233,3,1,3
13,3,1,3
215,3,1,3
170,2,1,3
177,3,1,3
230,3,1,3
173,3,1,3
26,3,1,3
17,3,1,3
109,3,1,3
233,3,1,3
177,3,1,3
17,3,1,3
133,3,1,3
67,3,1,3
17,3,1,3
17,3,1,3
68,3,1,3
170,2,1,3
43,3,1,3
230,3,1,3
67,3,1,3
177,3,1,3
66,3,1,3
204,3,1,3
177,3,1,3
13,3,1,3
175,2,1,3
115,3,1,3
11,3,1,3
17,3,1,3
19,3,1,3
25,3,1,3
233,3,1,3
170,2,1,3
66,3,1,3
43,3,1,3
107,3,1,3
100,3,1,3
177,3,1,3
177,3,1,3
173,3,1,3
215,3,1,3
165,3,1,3
233,3,1,3
135,3,1,3
222,3,1,3
107,3,1,3
107,3,1,3
77,3,1,3
208,3,1,3
233,3,1,3
67,3,1,3
115,3,1,3
109,3,1,3
211,3,1,3
204,3,1,3
170,2,1,3
234,3,1,3
12,3,1,3
208,3,1,3
66,3,1,3
222,3,1,3
77,3,1,3
234,3,1,3
222,3,1,3
66,3,1,3
54,3,1,3
19,3,1,3
126,3,1,3
175,3,1,3
17,3,1,3
204,3,1,3
57,3,1,3
165,3,1,3
230,3,1,3
67,3,1,3
222,3,1,3
215,3,1,3
78,3,1,3
43,3,1,3
230,3,1,3
177,3,1,3
230,3,1,3
77,3,1,3
115,3,1,3
230,3,1,3
83,3,1,3
26,3,1,3
67,3,1,3
109,3,1,3
175,2,1,3
177,3,1,3
6,3,1,3
115,3,1,3
107,3,1,3
17,3,1,3
222,3,1,3
67,3,1,3
115,3,1,3
57,3,1,3
233,3,1,3
67,3,1,3
233,3,1,3
77,3,1,3
107,3,1,3
43,3,1,3
158,3,1,3
208,3,1,3
17,3,1,3
234,3,1,3
109,3,1,3
12,3,1,3
107,3,1,3
26,3,1,3
68,3,1,3
140,3,1,3
20,2,1,3
100,3,1,3
236,3,1,3
219,2,1,3
107,3,1,3
133,3,1,3
230,3,1,3
215,3,1,3
6,3,1,3
83,3,1,3
204,3,1,3
211,3,1,3
43,3,1,3
17,3,1,3
67,3,1,3
107,3,1,3
211,3,1,3
17,3,1,3
109,3,1,3
193,3,1,3
175,2,1,3
107,3,1,3
222,3,1,3
133,3,1,3
233,3,1,3
68,3,1,3
109,3,1,3
215,3,1,3
215,3,1,3
177,3,1,3
215,3,1,3
233,3,1,3
77,3,1,3
17,3,1,3
73,3,1,3
123,3,1,3
107,3,1,3
115,3,1,3
67,3,1,3
17,3,1,3
13,3,1,3
202,4,1,3
233,3,1,3
107,3,1,3
230,3,1,3
77,3,1,3
67,3,1,3
215,3,1,3
68,3,1,3
40,3,1,3
222,3,1,3
123,3,1,3
233,3,1,3
13,3,1,3
19,3,1,3
175,2,1,3
67,3,1,3
12,3,1,3
222,3,1,3
193,3,1,3
17,3,1,3
233,3,1,3
230,3,1,3
57,3,1,3
67,3,1,3
19,3,1,3
233,3,1,3
13,3,1,3
234,3,1,3
25,3,1,3
165,3,1,3
54,3,1,3
107,3,1,3
109,3,1,3
17,3,1,3
215,3,1,3
17,3,1,3
234,3,1,3
233,3,1,3
233,3,1,3
233,3,1,3
204,3,1,3
100,3,1,3
177,3,1,3
67,3,1,3
57,3,1,3
140,3,1,3
230,3,1,3
211,3,1,3
156,3,1,3
6,3,1,3
109,3,1,3
165,3,1,3
211,3,1,3
107,3,1,3
236,3,1,3
230,3,1,3
215,3,1,3
25,3,1,3
165,3,1,3
140,3,1,3
109,3,1,3
107,3,1,3
13,3,1,3
215,3,1,3
57,3,1,3
19,3,1,3
67,3,1,3
3,2,1,3
175,3,1,3
12,3,1,3
25,3,1,3
19,3,1,3
19,3,1,3
19,3,1,3
175,2,1,3
43,3,1,3
19,3,1,3
78,3,1,3
68,3,1,3
6,3,1,3
43,3,1,3
19,3,1,3
68,3,1,3
26,3,1,3
233,3,1,3
67,3,1,3
68,3,1,3
107,3,1,3
234,3,1,3
43,3,1,3
202,4,1,3
234,3,1,3
17,3,1,3
107,3,1,3
208,3,1,3
175,2,1,3
234,3,1,3
17,3,1,3
115,3,1,3
67,3,1,3
222,3,1,3
236,3,1,3
193,3,1,3
26,3,1,3
37,3,1,3
177,3,1,3
26,3,1,3
175,2,1,3
202,4,1,3
26,3,1,3
115,3,1,3
66,3,1,3
177,3,1,3
68,3,1,3
19,3,1,3
57,3,1,3
68,3,1,3
234,3,1,3
109,3,1,3
115,3,1,3
177,3,1,3
106,3,1,3
17,3,1,3
107,3,1,3
165,3,1,3
20,3,1,3
135,3,1,3
234,3,1,3
234,3,1,3
26,3,1,3
12,3,1,3
37,3,1,3
202,4,1,3
202,4,1,3
234,3,1,3
202,4,1,3
230,3,1,3
6,3,1,3
12,3,1,3
45,2,1,3
55,3,1,3
204,3,1,3
204,3,1,3
67,3,1,3
17,3,1,3
133,3,1,3
67,3,1,3
123,3,1,3
40,3,1,3
13,3,1,3
222,3,1,3
77,3,1,3
133,3,1,3
12,3,1,3
68,3,1,3
123,3,1,3
107,3,1,3
215,3,1,3
122,3,1,3
208,3,1,3
109,3,1,3
211,3,1,3
215,3,1,3
175,3,1,3
107,3,1,3
67,3,1,3
12,3,1,3
57,3,1,3
208,3,1,3
115,3,1,3
204,3,1,3
222,3,1,3
202,4,1,3
40,3,1,3
17,3,1,3
165,3,1,3
68,3,1,3
236,3,1,3
202,4,1,3
211,3,1,3
206,2,1,3
156,3,1,3
215,3,1,3
107,3,1,3
175,2,1,3
156,3,1,3
175,2,1,3
25,3,1,3
215,3,1,3
20,2,1,3
17,3,1,3
40,3,1,3
107,3,1,3
19,3,1,3
67,3,1,3
17,3,1,3
208,3,1,3
107,3,1,3
233,3,1,3
26,3,1,3
78,3,1,3
204,3,1,3
135,3,1,3
40,3,1,3
3,2,1,3
40,3,1,3
165,3,1,3
19,3,1,3
202,4,1,3
202,4,1,3
173,3,1,3
233,3,1,3
208,3,1,3
173,3,1,3
17,3,1,3
107,3,1,3
66,3,1,3
177,3,1,3
67,3,1,3
177,3,1,3
222,3,1,3
123,3,1,3
175,2,1,3
12,3,1,3
19,3,1,3
215,3,1,3
43,3,1,3
78,3,1,3
109,3,1,3
230,3,1,3
13,3,1,3
107,3,1,3
211,3,1,3
135,3,1,3
231,3,1,3
231,3,1,3
123,3,1,3
26,3,1,3
133,3,1,3
100,3,1,3
202,4,1,3
19,3,1,3
54,3,1,3
77,3,1,3
202,4,1,3
140,3,1,3
25,3,1,3
67,3,1,3
109,3,1,3
13,3,1,3
107,3,1,3
230,3,1,3
215,3,1,3
78,3,1,3
77,3,1,3
3,2,1,3
230,3,1,3
68,3,1,3
107,3,1,3
67,3,1,3
67,3,1,3
100,3,1,3
234,3,1,3
26,3,1,3
77,3,1,3
177,3,1,3
77,3,1,3
135,3,1,3
26,3,1,3
67,3,1,3
107,3,1,3
67,3,1,3
233,3,1,3
25,3,1,3
133,3,1,3
43,3,1,3
17,3,1,3
211,3,1,3
230,3,1,3
215,3,1,3
175,2,1,3
17,3,1,3
54,3,1,3
173,3,1,3
37,3,1,3
135,3,1,3
156,3,1,3
177,3,1,3
3,2,1,3
17,3,1,3
175,3,1,3
20,2,1,3
234,3,1,3
135,3,1,3
133,3,1,3
19,3,1,3
67,3,1,3
115,3,1,3
233,3,1,3
13,3,1,3
67,3,1,3
17,3,1,3
211,3,1,3
109,3,1,3
215,3,1,3
175,3,1,3
107,3,1,3
215,3,1,3
140,3,1,3
234,3,1,3
17,3,1,3
12,3,1,3
135,3,1,3
67,3,1,3
202,4,1,3
109,3,1,3
37,3,1,3
26,3,1,3
68,3,1,3
233,3,1,3
78,3,1,3
193,3,1,3
78,3,1,3
175,2,1,3
204,3,1,3
17,3,1,3
12,3,1,3
193,3,1,3
43,3,1,3
78,3,1,3
40,3,1,3
233,3,1,3
222,3,1,3
233,3,1,3
40,3,1,3
165,3,1,3
67,3,1,3
165,3,1,3
177,3,1,3
106,3,1,3
133,3,1,3
234,3,1,3
230,3,1,3
208,3,1,3
20,2,1,3
37,3,1,3
233,3,1,3
43,3,1,3
78,3,1,3
77,3,1,3
26,3,1,3
115,3,1,3
37,3,1,3
19,3,1,3
25,3,1,3
12,3,1,3
165,3,1,3
40,3,1,3
234,3,1,3
19,3,1,3
183,3,1,3
19,3,1,3
3,2,1,3
25,3,1,3
17,3,1,3
19,3,1,3
19,3,1,3
25,3,1,3
78,3,1,3
17,3,1,3
67,3,1,3
233,3,1,3
233,3,1,3
175,3,1,3
67,3,1,3
115,3,1,3
175,2,1,3
202,4,1,3
170,2,1,3
26,3,1,3
215,3,1,3
177,3,1,3
43,3,1,3
135,3,1,3
13,3,1,3
19,3,1,3
175,2,1,3
66,3,1,3
233,3,1,3
170,2,1,3
135,3,1,3
78,3,1,3
175,2,1,3
73,3,1,3
222,3,1,3
230,3,1,3
204,3,1,3
158,3,1,3
67,3,1,3
140,3,1,3
67,3,1,3
230,3,1,3
231,3,1,3
204,3,1,3
19,3,1,3
40,3,1,3
230,3,1,3
55,3,1,3
204,3,1,3
202,4,1,3
202,4,1,3
109,3,1,3
83,3,1,3
233,3,1,3
175,2,1,3
25,3,1,3
173,3,1,3
230,3,1,3
19,3,1,3
165,3,1,3
193,3,1,3
208,3,1,3
177,3,1,3
78,3,1,3
6,3,1,3
77,3,1,3
67,3,1,3
107,3,1,3
234,3,1,3
234,3,1,3
156,3,1,3
230,3,1,3
17,3,1,3
234,3,1,3
135,3,1,3
233,3,1,3
208,3,1,3
230,3,1,3
215,3,1,3
115,3,1,3
173,3,1,3
135,3,1,3
20,2,1,3
107,3,1,3
173,3,1,3
234,3,1,3
165,3,1,3
68,3,1,3
116,2,1,3
13,3,1,3
230,3,1,3
140,3,1,3
13,3,1,3
208,3,1,3
19,3,1,3
67,3,1,3
230,3,1,3
19,3,1,3
231,3,1,3
183,3,1,3
106,3,1,3
156,3,1,3
234,3,1,3
68,3,1,3
177,3,1,3
211,3,1,3
202,4,1,3
173,3,1,3
175,2,1,3
215,3,1,3
19,3,1,3
6,3,1,3
215,3,1,3
177,3,1,3
26,3,1,3
202,4,1,3
43,3,1,3
107,3,1,3
107,3,1,3
123,3,1,3
25,3,1,3
107,3,1,3
236,3,1,3
177,3,1,3
236,3,1,3
233,3,1,3
43,3,1,3
20,2,1,3
233,3,1,3
211,3,1,3
77,3,1,3
19,3,1,3
78,3,1,3
40,3,1,3
208,3,1,3
12,3,1,3
208,3,1,3
116,2,1,3
173,3,1,3
19,3,1,3
37,3,1,3
230,3,1,3
236,3,1,3
68,3,1,3
19,3,1,3
57,3,1,3
17,3,1,3
133,3,1,3
170,2,1,3
236,3,1,3
215,3,1,3
140,3,1,3
202,4,1,3
222,3,1,3
57,3,1,3
126,3,1,3
133,3,1,3
77,3,1,3
233,3,1,3
236,3,1,3
116,2,1,3
165,3,1,3
67,3,1,3
116,2,1,3
234,3,1,3
233,3,1,3
66,3,1,3
55,3,1,3
20,3,1,3
40,3,1,3
234,3,1,3
215,3,1,3
234,3,1,3
19,3,1,3
233,3,1,3
177,3,1,3
67,3,1,3
17,3,1,3
43,3,1,3
202,4,1,3
165,3,1,3
170,2,1,3
68,3,1,3
165,3,1,3
107,3,1,3
19,3,1,3
183,3,1,3
173,3,1,3
17,3,1,3
55,3,1,3
177,3,1,3
206,2,1,3
106,3,1,3
3,2,1,3
222,3,1,3
236,3,1,3
222,3,1,3
208,3,1,3
134,3,1,3
17,3,1,3
77,3,1,3
115,3,1,3
135,3,1,3
37,3,1,3
66,3,1,3
126,3,1,3
17,3,1,3
156,3,1,3
133,3,1,3
19,3,1,3
193,3,1,3
77,3,1,3
17,3,1,3
67,3,1,3
156,3,1,3
115,3,1,3
40,3,1,3
54,3,1,3
25,3,1,3
215,3,1,3
17,3,1,3
13,3,1,3
109,3,1,3
222,3,1,3
107,3,1,3
204,3,1,3
109,3,1,3
215,3,1,3
230,3,1,3
175,3,1,3
26,3,1,3
19,3,1,3
204,3,1,3
222,3,1,3
208,3,1,3
25,3,1,3
77,3,1,3
17,3,1,3
73,3,1,3
222,3,1,3
109,3,1,3
12,3,1,3
109,3,1,3
13,3,1,3
115,3,1,3
233,3,1,3
73,3,1,3
12,3,1,3
13,3,1,3
158,3,1,3
140,3,1,3
107,3,1,3
107,3,1,3
215,3,1,3
215,3,1,3
231,3,1,3
107,3,1,3
107,3,1,3
67,3,1,3
68,3,1,3
40,3,1,3
57,3,1,3
17,3,1,3
107,3,1,3
68,3,1,3
13,3,1,3
204,3,1,3
173,3,1,3
100,3,1,3
222,3,1,3
202,4,1,3
222,3,1,3
66,3,1,3
230,3,1,3
78,3,1,3
173,3,1,3
233,3,1,3
115,3,1,3
20,3,1,3
12,3,1,3
26,3,1,3
234,3,1,3
107,3,1,3
25,3,1,3
26,3,1,3
208,3,1,3
215,3,1,3
177,3,1,3
208,3,1,3
78,3,1,3
107,3,1,3
215,3,1,3
156,3,1,3
177,3,1,3
3,2,1,3
215,3,1,3
156,3,1,3
107,3,1,3
208,3,1,3
43,3,1,3
17,3,1,3
25,3,1,3
230,3,1,3
215,3,1,3
173,3,1,3
165,3,1,3
215,3,1,3
17,3,1,3
45,2,1,3
230,3,1,3
109,3,1,3
109,3,1,3
204,3,1,3
26,3,1,3
233,3,1,3
208,3,1,3
233,3,1,3
215,3,1,3
37,3,1,3
107,3,1,3
202,4,1,3
234,3,1,3
177,3,1,3
234,3,1,3
77,3,1,3
78,3,1,3
67,3,1,3
20,2,1,3
26,3,1,3
165,3,1,3
19,3,1,3
234,3,1,3
3,2,1,3
170,2,1,3
83,3,1,3
230,3,1,3
68,3,1,3
57,3,1,3
68,3,1,3
17,3,1,3
11,3,1,3
234,3,1,3
45,2,1,3
54,3,1,3
234,3,1,3
177,3,1,3
230,3,1,3
78,3,1,3
68,3,1,3
215,3,1,3
122,3,1,3
57,3,1,3
67,3,1,3
67,3,1,3
77,3,1,3
12,3,1,3
78,3,1,3
230,3,1,3
177,3,1,3
68,3,1,3
215,3,1,3
19,3,1,3
215,3,1,3
107,3,1,3
83,3,1,3
211,3,1,3
208,3,1,3
233,3,1,3
68,3,1,3
107,3,1,3
68,3,1,3
230,3,1,3
107,3,1,3
219,2,1,3
115,3,1,3
107,3,1,3
6,3,1,3
202,4,1,3
77,3,1,3
19,3,1,3
106,3,1,3
26,3,1,3
13,3,1,3
135,3,1,3
165,3,1,3
57,3,1,3
156,3,1,3
177,3,1,3
233,3,1,3
19,3,1,3
193,3,1,3
43,3,1,3
77,3,1,3
215,3,1,3
20,2,1,3
234,3,1,3
67,3,1,3
177,3,1,3
43,3,1,3
77,3,1,3
40,3,1,3
234,3,1,3
177,3,1,3
19,3,1,3
40,3,1,3
78,3,1,3
230,3,1,3
17,3,1,3
107,3,1,3
135,3,1,3
230,3,1,3
107,3,1,3
215,3,1,3
109,3,1,3
173,3,1,3
77,3,1,3
135,3,1,3
170,2,1,3
17,3,1,3
173,3,1,3
68,3,1,3
12,3,1,3
67,3,1,3
230,3,1,3
135,3,1,3
204,3,1,3
234,3,1,3
135,3,1,3
40,3,1,3
67,3,1,3
123,3,1,3
26,3,1,3
204,3,1,3
26,3,1,3
177,3,1,3
25,3,1,3
17,3,1,3
165,3,1,3
215,3,1,3
222,3,1,3
204,3,1,3
45,2,1,3
78,3,1,3
234,3,1,3
17,3,1,3
211,3,1,3
13,3,1,3
20,3,1,3
177,3,1,3
123,3,1,3
19,3,1,3
19,3,1,3
233,3,1,3
231,3,1,3
215,3,1,3
19,3,1,3
107,3,1,3
230,3,1,3
234,3,1,3
222,3,1,3
68,3,1,3
43,3,1,3
19,3,1,3
109,3,1,3
17,3,1,3
234,3,1,3
19,3,1,3
215,3,1,3
17,3,1,3
230,3,1,3
234,3,1,3
12,3,1,3
211,3,1,3
20,2,1,3
204,3,1,3
17,3,1,3
177,3,1,3
17,3,1,3
17,3,1,3
106,3,1,3
204,3,1,3
234,3,1,3
211,3,1,3
215,3,1,3
204,3,1,3
107,3,1,3
234,3,1,3
109,3,1,3
234,3,1,3
57,3,1,3
135,3,1,3
57,3,1,3
17,3,1,3
100,3,1,3
26,3,1,3
13,3,1,3
40,3,1,3
215,3,1,3
68,3,1,3
233,3,1,3
233,3,1,3
215,3,1,3
234,3,1,3
25,3,1,3
230,3,1,3
77,3,1,3
230,3,1,3
175,2,1,3
133,3,1,3
233,3,1,3
107,3,1,3
107,3,1,3
19,3,1,3
107,3,1,3
40,3,1,3
37,3,1,3
40,3,1,3
25,3,1,3
13,3,1,3
215,3,1,3
170,2,1,3
40,3,1,3
175,2,1,3
234,3,1,3
202,4,1,3
109,3,1,3
208,3,1,3
204,3,1,3
208,3,1,3
17,3,1,3
165,3,1,3
204,3,1,3
67,3,1,3
133,3,1,3
215,3,1,3
233,3,1,3
67,3,1,3
193,3,1,3
19,3,1,3
19,3,1,3
66,3,1,3
170,2,1,3
68,3,1,3
234,3,1,3
233,3,1,3
115,3,1,3
204,3,1,3
208,3,1,3
25,3,1,3
109,3,1,3
19,3,1,3
6,3,1,3
177,3,1,3
107,3,1,3
165,3,1,3
57,3,1,3
106,3,1,3
67,3,1,3
222,3,1,3
236,3,1,3
175,3,1,3
135,3,1,3
13,3,1,3
231,3,1,3
215,3,1,3
177,3,1,3
173,3,1,3
19,3,1,3
165,3,1,3
26,3,1,3
170,2,1,3
43,3,1,3
77,3,1,3
183,3,1,3
19,3,1,3
234,3,1,3
13,3,1,3
156,3,1,3
116,2,1,3
230,3,1,3
202,4,1,3
230,3,1,3
67,3,1,3
208,3,1,3
107,3,1,3
43,3,1,3
215,3,1,3
20,2,1,3
206,3,1,3
37,3,1,3
68,3,1,3
233,3,1,3
133,3,1,3
140,3,1,3
135,3,1,3
68,3,1,3
234,3,1,3
215,3,1,3
135,3,1,3
234,3,1,3
193,3,1,3
233,3,1,3
77,3,1,3
236,3,1,3
109,3,1,3
107,3,1,3
45,2,1,3
165,3,1,3
57,3,1,3
234,3,1,3
133,3,1,3
37,3,1,3
233,3,1,3
26,3,1,3
19,3,1,3
204,3,1,3
140,3,1,3
215,3,1,3
66,3,1,3
67,3,1,3
233,3,1,3
135,3,1,3
173,3,1,3
233,3,1,3
222,3,1,3
204,3,1,3
215,3,1,3
107,3,1,3
140,3,1,3
123,3,1,3
230,3,1,3
215,3,1,3
222,3,1,3
3,2,1,3
215,3,1,3
222,3,1,3
11,3,1,3
140,3,1,3
73,3,1,3
222,3,1,3
107,3,1,3
177,3,1,3
107,3,1,3
43,3,1,3
140,3,1,3
13,3,1,3
236,3,1,3
40,3,1,3
165,3,1,3
43,3,1,3
215,3,1,3
202,4,1,3
26,3,1,3
40,3,1,3
233,3,1,3
233,3,1,3
26,3,1,3
67,3,1,3
3,2,1,3
17,3,1,3
202,4,1,3
57,3,1,3
165,3,1,3
233,3,1,3
170,2,1,3
177,3,1,3
20,3,1,3
26,3,1,3
67,3,1,3
17,3,1,3
204,3,1,3
233,3,1,3
234,3,1,3
204,3,1,3
13,3,1,3
156,3,1,3
43,3,1,3
68,3,1,3
67,3,1,3
17,3,1,3
37,3,1,3
211,3,1,3
204,3,1,3
107,3,1,3
134,3,1,3
234,3,1,3
77,3,1,3
233,3,1,3
165,3,1,3
135,3,1,3
26,3,1,3
109,3,1,3
78,3,1,3
236,3,1,3
